Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y,Staff_Count,Budget
2025,10,MEDCHAL - MALKAJIGIRI,ALWAL,Malkajgiri,1501055,IN Nagar III,1,0,0,1,0,33,9,1,23,0,21,6,3,12,0,5.0,166421.0
2025,10,NALGONDA,ANUMULA,Nellikal,2314065,Jalthanda-1,0,0,0,0,0,13,1,12,0,0,7,0,7,0,0,6.0,51605.0
2025,10,JANGAON,JANGAON,Bachannapeta,2101182,Kesireddipally - II,2,0,0,1,1,14,1,0,11,2,16,5,0,7,4,4.0,122303.0
2025,10,JANGAON,JANGAON,Lingampally,2101196,Nakkavanigudem,4,2,0,2,0,29,9,0,18,2,16,5,0,11,0,6.0,126125.0
2025,10,NALGONDA,NAKREKAL,Kattangur,2311007,Garlabaigudem,3,3,0,0,0,28,27,0,1,0,23,23,0,0,0,6.0,194990.0
2025,10,NALGONDA,NAKREKAL,Kattangur,2311021,Ramachandrapuram,0,0,0,0,0,19,3,3,13,0,20,6,0,14,0,3.0,174040.0
2025,10,NAGARKURNOOL,ACHAMPETA (R) ,Padra,1401097,Padara-II,6,1,0,4,1,26,7,0,17,2,33,10,0,23,0,4.0,194118.0
2025,10,NAGARKURNOOL,ACHAMPETA (R) ,Padra,1401348,CHINTLAKUNTA CHENCHU COLONY,4,0,4,0,0,14,0,14,0,0,13,0,13,0,0,4.0,54324.0
2025,10,MEDCHAL - MALKAJIGIRI,ALWAL,Uppal,1501120,Saraswathi Nagar,0,0,0,0,0,103,21,8,52,22,65,26,3,32,4,4.0,126323.0
2025,10,MEDCHAL - MALKAJIGIRI,ALWAL,Uppal,1501155,Uppal hills (ward no-10),0,0,0,0,0,59,2,2,53,2,43,2,1,40,0,6.0,59111.0
2025,10,NALGONDA,NAKREKAL,Cherkupally,2311058,Rayapuram,7,3,0,4,0,19,9,0,7,3,7,3,0,4,0,5.0,66389.0
2025,10,JOGULAMBA-GADWAL,GADWAL(U),Daroor,1405192,CHINNAREDDI PALLY,0,0,0,0,0,6,0,0,6,0,11,0,0,11,0,4.0,172177.0
2025,10,JOGULAMBA-GADWAL,GADWAL(U),Daroor,1405292,Marlabeedu,2,0,0,2,0,18,2,0,13,3,42,2,1,36,3,7.0,91427.0
2025,10,NALGONDA,ANUMULA,Nidamanoor,2314216,Mupparam-I,6,3,0,3,0,27,14,1,11,1,16,9,1,6,0,6.0,172883.0
2025,10,JOGULAMBA-GADWAL,GADWAL(U),jammichedu,1406092,Basrachervu,3,0,0,2,1,28,0,1,23,4,19,0,1,17,1,3.0,181189.0
2025,10,YADADRI-BHUVANGIRI,ALAIR (R),Yadagirigu,2301112,Mallapuram-1,4,0,0,4,0,49,0,0,49,0,11,0,0,11,0,5.0,175808.0
