state_code,LGD_ST_Code,state_name,district_code,LGD_Dist_Code,district_name,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure,district_normalized,Total_AWCs,Total_Children
1,35,ANDAMAN AND NICOBAR,101,602.0,SOUTH ANDAMAN,14137,18219,2470,3662,0,0,32000,2875,0,0,1568,21,1679.8667826087,0,134,167,1,8,225,225,0,50.58,30,11.44,48.29617,48.29617,0.0,0.0,SOUTH ANDAMAN,,
1,35,ANDAMAN AND NICOBAR,102,603.0,NICOBARS,6121,9770,1005,1898,0,1509,33000,5268,0,3785,2903,20,420.816154138193,0,252,278,1,2,194,173,21,72.49,8,55.24,22.168595,22.168595,0.0,0.0,NICOBARS,,
1,35,ANDAMAN AND NICOBAR,103,632.0,NORTH AND MIDDLE ANDAMAN,18408,29327,4452,8183,0,0,85000,27590,0,0,16658,24,504.210148604567,0,1131,1357,2,0,736,573,163,37.52,76,31.18,170.347946,139.11158,31.236366,0.0,NORTH AND MIDDLE ANDAMAN,,
2,28,ANDHRA PRADESH,201,519.0,SRIKAKULAM,435725,726977,376969,647872,57106,38713,15600000,13722420,1179432,826867,9849220,43,236.584589296927,3572,316311,445986,5958,0,98036,85872,12164,77.25,59,21.54,53855.1551720644,32465.1309985994,19284.664033465,2105.36014,SRIKAKULAM,,
2,28,ANDHRA PRADESH,202,521.0,VIZIANAGARAM,369276,632995,336509,585376,66904,16732,12200000,11386782,1357749,301772,8095132,40,217.58083536068,4499,280432,404062,6428,1,78997,71870,7127,80.42,53,11.88,38330.4816537116,24775.4553962996,11897.861977412,1657.16428,VIZIANAGARAM,,
2,28,ANDHRA PRADESH,203,520.0,VISAKHAPATANAM,35729,54719,31549,49656,4227,473,1400000,1304061,99879,8968,968063,51,274.850082726194,976,25506,34759,210,0,8134,7518,616,90.03,60,8.13,5534.74467767603,3584.21273730003,1586.651160376,363.88078,VISAKHAPATANAM,,
2,28,ANDHRA PRADESH,204,505.0,EAST GODAVARI,145019,220397,118827,183385,66707,3117,3400000,3201492,1167583,64919,1757769,39,274.135320194455,907,80948,104288,1628,0,34836,29147,5689,70.27,47,40.69,15871.7048870819,8776.42034519986,6473.112711882,622.17183,EAST GODAVARI,,
2,28,ANDHRA PRADESH,205,523.0,WEST GODAVARI,165380,264786,129058,211387,56465,1670,3400000,3023917,853445,24208,1730826,32,283.231092701946,1077,92243,130254,1185,0,40789,37580,3209,80.62,39,79.86,12381.9841272719,8564.67316149992,3215.147455772,602.16351,WEST GODAVARI,,
2,28,ANDHRA PRADESH,206,510.0,KRISHNA,220886,387271,180599,329139,119104,5661,6100000,5432703,1990864,78738,2924250,38,280.707793659987,3691,139501,238035,1990,0,61375,48043,13332,79.95,22,76.92,24999.1556295759,15250.0207273999,8610.47563217599,1138.65927,KRISHNA,,
2,28,ANDHRA PRADESH,207,506.0,GUNTUR,136967,226912,89560,154014,67821,5435,2000000,1759295,715401,49729,1017993,30,254.019290039477,319,57229,90793,485,17,31066,29798,1268,82.94,36,84.23,7211.47826965901,4468.94866870001,2145.071720959,597.45788,GUNTUR,,
