,state_code,LGD_ST_Code,district_code,LGD_Dist_Code,total_no_of_job_cards_issued,total_no_of_workers,total_no_of_active_job_cards,total_no_of_active_workers,sc_worker_percentage_against_acive_workers,st_worker_percentage_against_active_workers,approved_labour_budget,persondays_of_central_liability_so_far,sc_persondays_percentage_of_total,st_persondays_percentage_of_total,women_persondays_percentage_of_total,average_days_employment_per_household,average_wage_rate_per_day_per_person,total_no_of_HHs_completed_100_days,total_households_worked,total_individuals_worked,differently_abled_persons_worked,no_of_GPs_with_NIL_expenditure,total_no_of_works_taken_up_new_and_spillover,no_of_ongoing_works,no_of_completed_works,percentage_of_NRM_expenditure_in_MWC_blocks,percentage_of_category_B_works,percentage_expenditure_on_agriculture_and_allied_works,total_expenditure,wages,material_and_skilled_wages,total_admin_expenditure
state_code,1.0,0.08937266414358717,0.999891391622142,-0.04616173030847123,-0.007913745289693762,0.017928825226846398,0.02525700973318858,0.028430081908114174,0.1499459918162227,0.04952378993992081,-0.027063314589294094,-0.024458128869989368,0.09504642581658194,0.044573821785660474,-0.017270059530118554,-0.17754927773566034,-0.19659761290670338,0.052347404136432275,0.013776366405242635,-0.027357458871589517,0.04416248720035686,0.08646243878971051,-0.05689510936625534,-0.08900399583700788,0.036872346706059045,0.07270260475919037,-0.046487147014814115,0.07851644599930091,-0.05978125115012069,-0.04200342560767583,-0.11585221296449844,0.15062688919448008
LGD_ST_Code,0.08937266414358717,1.0,0.08813277234027966,0.6775455756481066,0.06690929882262706,0.14346355663838203,0.12261550140432849,0.19933047929406722,0.0162288495893851,0.1198024838264952,0.07496274848576268,0.11966736820724837,0.024482755867142707,0.06382060780212405,0.18367437007145818,-0.12699678768611425,0.0937180275831804,0.12350222637127513,0.1979771684061986,0.2652192766446234,0.37600722762389355,-0.10908284996552499,0.17209749118191303,0.16519406642856085,0.1359583029031863,0.015208616744715006,0.24694878444900997,-0.05432990110639643,0.19006128979085476,0.18127743203897928,0.14157284491125,0.4034423491623538
district_code,0.999891391622142,0.08813277234027966,1.0,-0.04496692934871139,-0.007555157854348921,0.017794737947623034,0.026483352396552303,0.029240527726121398,0.15133508436188972,0.04948466285611042,-0.026739394486800155,-0.023717076693339403,0.09697438249716288,0.04345366633327655,-0.017395638154687126,-0.17757118498008687,-0.1977096356087497,0.051873633879173,0.01455924268264956,-0.026522043241574842,0.04407606956549747,0.08430947702661101,-0.0559942003801403,-0.08840834844410494,0.03822434158830129,0.07481851594507295,-0.04804176163586392,0.07999338634067045,-0.05907299120243166,-0.041672835069359544,-0.11429545529136186,0.1505987799957545
LGD_Dist_Code,-0.04616173030847123,0.6775455756481066,-0.04496692934871139,1.0,-0.1432218648669632,-0.08018715935773206,-0.08660374362483526,-0.021243601933307408,-0.1413036758974989,0.0690931824416221,-0.06667520826485522,-0.040418674319539744,-0.10320269530177004,0.03913149666101583,0.01583735792859527,-0.0569768072973513,0.05756325101476964,0.03244139041763856,0.01844125256913543,0.08924281728129864,0.2573440529793301,-0.10604077454387337,0.0057498963802602365,0.01187389625610341,-0.010579016593828296,-0.024541263194563245,0.10219468292085052,-0.047511776598230575,0.02298769175003585,0.006419613487898998,0.037467416587505846,0.18579931756125553
total_no_of_job_cards_issued,-0.007913745289693762,0.06690929882262706,-0.007555157854348921,-0.1432218648669632,1.0,0.9490375471495442,0.7326887471647209,0.6869974142554528,0.46707387659968547,0.11602320478916411,0.530145764985496,0.5464892346237236,0.37987886995744424,0.02442148721729183,0.49493478583010975,-0.21179844700833353,-0.22634011559693015,0.25929267214474616,0.559586089339101,0.5278697308243542,0.1790844162121377,0.23931279494843352,0.6283623617800427,0.5658554918591974,0.5851538965621875,-0.1757570469845072,0.3333907159221806,-0.170712046059156,0.5541711265292657,0.5564913143846119,0.45950649680787103,0.26637971820441
total_no_of_workers,0.017928825226846398,0.14346355663838203,0.017794737947623034,-0.08018715935773206,0.9490375471495442,1.0,0.6634436306914135,0.7292452821069016,0.4413243190168676,0.21135123302277098,0.4822317200989989,0.4801945423598646,0.28829230076455986,0.08351081682680361,0.42466873408256994,-0.2529542162748979,-0.22994004636951954,0.2871954318925521,0.4953917688385164,0.5231237437946153,0.18403154862211757,0.2768180748230351,0.610868893065389,0.5685015270210846,0.52508954018779,-0.23517882024348868,0.3908135180173289,-0.2259580208273365,0.5105480327995354,0.5034920083293097,0.43867578898374976,0.30071221443211826
total_no_of_active_job_cards,0.02525700973318858,0.12261550140432849,0.026483352396552303,-0.08660374362483526,0.7326887471647209,0.6634436306914135,1.0,0.9272197704760793,0.7122066828359228,0.2689219421915013,0.85896546326313,0.885833980644257,0.7164330414682373,0.20482169906652953,0.8503616727177953,-0.005141701220243642,-0.07598019601390847,0.3654918649025993,0.9289456163740185,0.883767525880842,0.5166683825043179,-0.1661862003178029,0.7162771419862786,0.6622088018540173,0.6261410945116231,0.16374840294528553,0.18845659075332555,0.03923287289290488,0.8545079157101397,0.855822756709394,0.7132126845911234,0.4172194603893217
total_no_of_active_workers,0.028430081908114174,0.19933047929406722,0.029240527726121398,-0.021243601933307408,0.6869974142554528,0.7292452821069016,0.9272197704760793,1.0,0.6726207216550962,0.4075037508856904,0.8203181432276446,0.8163453866520854,0.5920099388710771,0.29181726519477186,0.7650777374530323,-0.030402553334688668,-0.049422923710732786,0.4269150607307364,0.8542444310752042,0.892616513342834,0.495821300810851,-0.1515190600892208,0.7437255947987279,0.7097845411501678,0.5973212779250892,0.09195060559375758,0.2757791094662269,-0.024214818202496637,0.8170708984004672,0.8072119419320595,0.70376052685884,0.44000177121108097
sc_worker_percentage_against_acive_workers,0.1499459918162227,0.0162288495893851,0.15133508436188972,-0.1413036758974989,0.46707387659968547,0.4413243190168676,0.7122066828359228,0.6726207216550962,1.0,-0.07852803819604479,0.5089319605533195,0.5463953026488754,0.8719701780640573,-0.11871085291830756,0.542801456234942,-0.16995469122341644,-0.05854764009270874,0.14395844906808689,0.6453435555492546,0.610533350783424,0.39068246866700124,-0.08910740640591663,0.3593202568052268,0.3326409302131645,0.3130471076388882,0.23642481770046408,-0.04062146309208202,0.07776102567304721,0.549268365551131,0.5182038774277425,0.5180679378056895,0.40942521123569253
st_worker_percentage_against_active_workers,0.04952378993992081,0.1198024838264952,0.04948466285611042,0.0690931824416221,0.11602320478916411,0.21135123302277098,0.2689219421915013,0.4075037508856904,-0.07852803819604479,1.0,0.3822949433504413,0.3398602278064682,-0.07924524698709261,0.8827086059301162,0.2760232595514375,0.12290436902796999,-0.05314908146383237,0.3057530819696733,0.28535961660715226,0.3632719087229116,0.20856940978836425,-0.09151341915878858,0.36540209139615387,0.36030338235885195,0.2659289844353374,-0.033984584916712766,0.24704859326793838,-0.04541314841751985,0.2808492000887542,0.31290593733018457,0.1564078634784237,0.147503906215511
