Column,Count,Percentage,Lower,Upper,Min,Max
total_no_of_job_cards_issued,43,5.92%,-242017.375,636495.625,2830.0,1402041.0
total_no_of_workers,38,5.23%,-415277.5,1086096.5,2849.0,2356783.0
total_no_of_active_job_cards,23,3.17%,-128940.25,333611.75,29.0,571378.0
total_no_of_active_workers,23,3.17%,-220257.625,582707.375,49.0,1090101.0
sc_worker_percentage_against_acive_workers,21,2.89%,-68465.0,131865.0,0.0,306436.0
st_worker_percentage_against_active_workers,55,7.58%,-64267.25,110246.75,0.0,640182.0
approved_labour_budget,33,4.55%,-3085772.875,8040204.125,0.0,15792351.0
persondays_of_central_liability_so_far,27,3.72%,-3182464.25,7475773.75,0.0,13722420.0
sc_persondays_percentage_of_total,31,4.27%,-871537.375,1526293.625,0.0,2989572.0
st_persondays_percentage_of_total,65,8.95%,-861728.0,1454836.0,0.0,9977764.0
women_persondays_percentage_of_total,44,6.06%,-1871376.125,4150230.875,0.0,10328041.0
average_days_employment_per_household,42,5.79%,10.5,62.5,0.0,86.0
average_wage_rate_per_day_per_person,121,16.67%,192.33573313698258,341.7071311017117,0.0,1679.8667826087
total_no_of_HHs_completed_100_days,83,11.43%,-2090.625,3652.375,0.0,25327.0
total_households_worked,35,4.82%,-76249.5,186904.5,0.0,421476.0
total_individuals_worked,31,4.27%,-120087.25,271796.75,0.0,495929.0
differently_abled_persons_worked,87,11.98%,-663.125,1235.875,0.0,15716.0
no_of_GPs_with_NIL_expenditure,102,14.05%,-13.5,22.5,0.0,315.0
total_no_of_works_taken_up_new_and_spillover,31,4.27%,-35409.0,76899.0,10.0,161992.0
no_of_ongoing_works,53,7.30%,-23860.0,50544.0,10.0,152248.0
no_of_completed_works,33,4.55%,-11840.875,24216.125,0.0,52754.0
percentage_of_NRM_expenditure_in_MWC_blocks,23,3.17%,3.521250000000002,118.61125,0.0,100.0
percentage_expenditure_on_agriculture_and_allied_works,1,0.14%,-9.35125,98.35875,0.0,100.0
total_expenditure,36,4.96%,-10495.376622723532,25923.6822865992,0.0,57062.2977673769
wages,30,4.13%,-8429.356905544968,20171.066987174963,0.0,36421.8795644999
material_and_skilled_wages,70,9.64%,-2641.6418162668747,5610.1067077721245,0.0,20640.418202877
total_admin_expenditure,21,2.89%,-535.5265274999999,1116.9612725,0.0,2105.36014
