state_name,district_name,total_no_of_active_workers,total_households_worked,approved_labour_budget,total_expenditure,wages,active_worker_ratio,job_card_activation_rate,work_completion_rate,average_days_employment_per_household
ANDAMAN AND NICOBAR,SOUTH ANDAMAN,3662,134,32000,48.29617,48.29617,0.2009989571326637,0.174718822946877,0.0,21
ANDAMAN AND NICOBAR,NICOBARS,1898,252,33000,22.168595,22.168595,0.19426816786079837,0.1641888580297337,0.1076923076923077,20
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,8183,1131,85000,170.347946,139.11158,0.2790261533740239,0.24185136897001303,0.22116689280868385,24
ANDHRA PRADESH,SRIKAKULAM,647872,316311,15600000,53855.1551720644,32465.1309985994,0.8911863786612231,0.8651534798324632,0.12407560410865286,43
ANDHRA PRADESH,VIZIANAGARAM,585376,280432,12200000,38330.4816537116,24775.4553962996,0.9247719176296811,0.9112669114700116,0.09021747386009772,40
ANDHRA PRADESH,VISAKHAPATANAM,49656,25506,1400000,5534.74467767603,3584.21273730003,0.907472724282242,0.883008200621344,0.07572218807621389,51
ANDHRA PRADESH,EAST GODAVARI,183385,80948,3400000,15871.7048870819,8776.42034519986,0.8320666796734982,0.8193891834863017,0.16330338433274966,39
ANDHRA PRADESH,WEST GODAVARI,211387,92243,3400000,12381.9841272719,8564.67316149992,0.7983314827823224,0.7803724755109445,0.07867124295170384,32
ANDHRA PRADESH,KRISHNA,329139,139501,6100000,24999.1556295759,15250.0207273999,0.849893227223314,0.8176117997519082,0.217218456725756,38
ANDHRA PRADESH,GUNTUR,154014,57229,2000000,7211.47826965901,4468.94866870001,0.678738894373149,0.653880131710558,0.04081501271445585,30
ANDHRA PRADESH,PRAKASAM,662062,287977,11500000,40737.6562086524,25528.6659428994,0.8812031155998276,0.861956467183082,0.04334388950360563,35
ANDHRA PRADESH,NELLORE,437170,183377,7900000,28450.6639944457,17582.0914185997,0.8280801315320913,0.8168933009974427,0.14369428854407396,39
ANDHRA PRADESH,CHITTOOR,353377,106025,4500000,20643.727943209,11855.2666274,0.8017101540681385,0.7846717475808128,0.12651570167910037,41
ANDHRA PRADESH,Y.S.R,342508,135138,7000000,26223.4353768978,16877.2284930998,0.7700217849250117,0.7593842398827123,0.13841627998665576,45
ANDHRA PRADESH,ANANTAPUR,467045,172579,7700000,33525.1903955306,20824.4116198996,0.8294351859744835,0.8231414887572043,0.11722431521752645,43
ANDHRA PRADESH,KURNOOL,490069,175799,5800000,23455.0773018137,14782.9761264997,0.8392756529587152,0.8245513414098822,0.09439666184109682,31
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,458849,203787,11200000,45396.7355754505,31305.8073234815,0.925852912452885,0.9050635831039626,0.060150747254511,52
ANDHRA PRADESH,ANAKAPALLI,373235,195592,9800000,36446.939183951,25734.2413773,0.8823751917898575,0.8602547733093222,0.06328561977506465,46
ANDHRA PRADESH,KONASEEMA,244080,116506,5100000,21737.635958151,13869.9243678,0.7172684555277689,0.6792781283877091,0.13169973349126443,40
ANDHRA PRADESH,ELURU,563280,233298,10300000,35438.8105694249,25732.9362186998,0.8711494384420517,0.8519051632606149,0.12480622658571244,39
ANDHRA PRADESH,NTR,314089,125314,4100000,19170.7959423881,10853.9399402001,0.832411932450626,0.8153437929357551,0.20097575546373275,29
ANDHRA PRADESH,BAPATLA,375156,164819,5700000,20672.4276203541,14175.6946488001,0.8622551351798606,0.8356834993885692,0.1675278486109247,31
ANDHRA PRADESH,PALNADU,464792,193697,6700000,27259.8007719132,16363.6954234002,0.8396673790473369,0.8142714691018433,0.04298285939449662,30
ANDHRA PRADESH,NANDYAL,397317,156677,5800000,22326.7323983699,14231.2983072999,0.8094848082929423,0.7916204757909875,0.11774266365688488,34
ANDHRA PRADESH,SRI SATHYA SAI,373928,131919,6000000,27212.4554518698,15297.7264054998,0.8166649194534717,0.8055981384086853,0.07424622919623777,41
ANDHRA PRADESH,ANNAMAYYA,290128,128201,5700000,22365.6117236321,15001.8960109001,0.8818855513608482,0.8748214143979681,0.1505890603085554,42
ANDHRA PRADESH,TIRUPATI,341195,139000,6800000,29380.1192051088,17844.0262236998,0.8689855234874031,0.857390898284938,0.318275438057178,45
ANDHRA PRADESH,PARVATHIPURAM MANYAM,362566,171357,9400000,31323.9955939836,22155.5467114005,0.9230976828737356,0.9054529401543223,0.1676825747173637,49
ANDHRA PRADESH,KAKINADA,305473,142404,4900000,23872.382708455,12812.4076381,0.8216521105280288,0.8088270578758847,0.13623101840152543,32
ARUNACHAL PRADESH,TAWANG,14143,8532,456478,1480.988676695,1077.18249,0.9417992941333155,0.9372398001665279,0.34256055363321797,50
ARUNACHAL PRADESH,WEST KAMENG,13855,8415,583746,1252.32477519099,792.825381099992,0.9198034920002656,0.9157704621952221,0.1825657894736842,39
ARUNACHAL PRADESH,EAST KAMENG,36771,35742,1571343,6194.39200970812,3659.19278200012,0.9745050751331725,0.9748422628595872,0.22722159730033745,45
ARUNACHAL PRADESH,LOWER SUBANSIRI,8801,4755,342817,603.650813215,442.4593428,0.8027179861364465,0.8153455049688005,0.009868421052631578,35
ARUNACHAL PRADESH,UPPER SUBANSIRI,41296,41209,1225552,8077.24943959999,5574.62234449999,0.9873992779092844,0.9873766407971639,0.2250733137829912,59
ARUNACHAL PRADESH,WEST SIANG,16290,6906,294362,787.017776700001,606.725659300001,0.9056540835047534,0.8692663268934455,0.0975609756097561,40
ARUNACHAL PRADESH,EAST SIANG,13618,9432,329560,928.909995076002,624.453391000001,0.9873839907192575,0.9866824504291211,0.2694610778443114,32
ARUNACHAL PRADESH,LOHIT,7780,3939,274407,919.83380751,650.6921618,0.9823232323232324,0.9846344048039563,0.3018181818181818,68
ARUNACHAL PRADESH,CHANGLANG,30289,10877,781232,1885.711094248,1054.017526,0.9728905020396365,0.9654889071487264,0.25969341749323716,40
ARUNACHAL PRADESH,TIRAP,39582,25554,541210,4161.181938076,2980.11722,0.9489355581127733,0.9445176453829992,0.1874180865006553,47
ARUNACHAL PRADESH,PAPUM PARE,35070,27626,1240128,4931.56332159999,3402.53115979999,0.9900347232024391,0.9887546273660683,0.24037460978147762,51
ARUNACHAL PRADESH,UPPER SIANG,8660,8238,352009,1447.095415144,1164.8667749,0.9617947578853843,0.9617555581154245,0.27882599580712786,59
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,14211,13521,506441,1784.362334044,1234.55018,0.9835282718527234,0.9836631223153299,0.26506024096385544,38
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2830,2818,133842,855.5432615,585.89673,0.9933309933309933,0.9932862190812721,0.381294964028777,86
ARUNACHAL PRADESH,KURUNG KUMEY,23743,15638,1009520,2709.1869727,897.79897,0.9504423361754933,0.956669889947967,0.278125,31
ARUNACHAL PRADESH,ANJAW,9156,7979,440343,1337.7472834,950.1867478,0.9651101507325814,0.9642777901042823,0.2606177606177606,52
ARUNACHAL PRADESH,LONGDING,18737,6087,798407,885.4063112,688.534183,0.9073168369570481,0.8615032943391152,0.14482758620689656,47
ARUNACHAL PRADESH,KRA-DAADI,22424,21208,1125119,4200.0268973,2967.470723,0.9698961937716263,0.9736666814689817,0.2574679943100996,61
ARUNACHAL PRADESH,SIANG,11394,5678,378728,1012.31209743799,535.647303399995,0.8848334239341461,0.8588567395906845,0.3465553235908142,36
ARUNACHAL PRADESH,NAMSAI,30200,15649,857471,1700.5698691,1192.2469325,0.9793747567777922,0.9777973180918883,0.2544570502431118,32
ARUNACHAL PRADESH,SHI YOMI,5382,2020,153328,338.136804200001,271.815041400001,0.9292127071823204,0.9046679815910585,0.1683673469387755,56
ARUNACHAL PRADESH,PAKKE KESSANG,7793,7148,336046,1201.4176878,478.196431199997,0.9583128381701919,0.9581326417191552,0.2768361581920904,28
ARUNACHAL PRADESH,LEPARADA,8508,4933,213813,305.2878595,258.3525832,0.9868924718710126,0.9820237212750186,0.24232081911262798,25
ARUNACHAL PRADESH,KAMLE,11554,10067,559673,1576.87837,1083.54392,0.8929592704227529,0.8967662709783054,0.07051282051282051,47
ARUNACHAL PRADESH,LOWER SIANG,10444,3012,254672,419.208778058,133.8110664,0.9252303330970942,0.9038961038961039,0.44807121661721067,20
ARUNACHAL PRADESH,KEYI PANYOR,10723,6688,239753,1181.8189105,1145.4516105,0.9567273376159886,0.9502206287920574,0.09502262443438914,72
ASSAM,DHUBRI,343966,61626,2248782,6642.328594412,5101.3583445,0.46415217059818126,0.41985067377528773,0.18289703315881325,34
ASSAM,KOKRAJHAR,319914,82375,1677785,7714.1619489,6293.1443666,0.5957718623248053,0.5694945782826265,0.22441016006070022,31
ASSAM,BONGAIGAON,155739,15150,750651,1849.931861023,1494.7615318,0.4751559048583737,0.4540850756691098,0.39752021563342316,39
ASSAM,GOALPARA,215436,25981,1119144,3159.10528788499,2018.25060429999,0.4765502992872848,0.40845421918698155,0.39112239297475304,31
